c 359.3 0.0 345.98 0.0 0.0 0.0
t 70c 359.3 0.0 345.98 0.0 0.0 0.0
t 71c 359.3 0.0 345.98 0.0 0.0 0.0
t 72c 359.3 0.0 345.98 0.0 0.0 0.0
t 73c 359.3 0.0 345.98 0.0 0.0 0.0
t 74c 359.3 0.0 345.98 0.0 0.0 0.0
t 75c 359.3 0.0 345.98 0.0 0.0 0.0
t 76c 359.3 0.0 345.98 0.0 0.0 0.0
t 77c 359.3 0.0 345.98 0.0 0.0 0.0
t 78c 359.3 0.0 345.98 0.0 0.0 0.0
t 79c 359.3 0.0 345.98 0.0 0.0 0.0
t 80c 359.3 0.0 345.98 0.0 0.0 0.0
t 81c 359.3 0.0 345.98 0.0 0.0 0.0
t 82c 359.3 0.0 345.98 0.0 0.0 0.0
t 83c 359.3 0.0 345.98 0.0 0.0 0.0
t 84c 359.3 0.0 345.98 0.0 0.0 0.0
t 85c 359.3 0.0 345.98 0.0 0.0 0.0
t 86c 359.3 0.0 345.98 0.0 0.0 0.0
t 87c 359.3 0.0 345.98 0.0 0.0 0.0
t 88c 359.3 0.0 345.98 0.0 0.0 0.0
t 89c 359.3 0.0 345.98 0.0 0.0 0.0
t 90c 359.3 0.0 345.98 0.0 0.0 0.0
t 91c 359.3 0.0 345.98 0.0 0.0 0.0
t 92c 359.3 0.0 345.98 0.0 0.0 0.0
t 93c 359.3 0.0 345.98 0.0 0.0 0.0
t 94c 359.3 0.0 345.98 0.0 0.0 0.0
t 95c 359.3 0.0 345.98 0.0 0.0 0.0
t 96c 359.3 0.0 345.98 0.0 0.0 0.0
t 97c 359.3 0.0 345.98 0.0 0.0 0.0
t 98c 359.3 0.0 345.98 0.0 0.0 0.0
t 99c 359.3 0.0 345.98 0.0 0.0 0.0
t 100c 359.3 0.0 345.98 0.0 0.0 0.0
t 101c 359.3 0.0 345.98 0.0 0.0 0.0
t 102c 359.3 0.0 345.98 0.0 0.0 0.0
t 103c 359.3 0.0 345.98 0.0 0.0 0.0
t 104c 359.3 0.0 345.98 0.0 0.0 0.0
t 105
