time,steps_j1,steps_j2,steps_j3,steps_j4,steps_j5,steps_j6
0.021222100000159116,0,4,-20,0,0,0
0.022536500000569504,0,4,-21,0,0,0
0.021874299999581126,-7,4,-20,396,2,-396
0.02249180000035267,-7,4,-21,0,2,0
0.022543999999470543,-7,5,-21,0,2,0
0.02136400000017602,-7,4,-20,0,2,0
0.022489599999971688,-7,5,-21,0,2,0
0.021565300000474963,-7,4,-20,0,2,0
0.020818499999222695,-6,4,-20,0,2,0
0.021557200000643206,-7,4,-21,0,2,0
0.02101219999985915,-6,4,-20,0,2,0
0.022878799999489274,-7,5,-22,0,2,0
0.021964000000480155,-7,5,-21,0,2,0
0.021548900000198046,-6,4,-21,0,2,0
0.020424699999239238,-6,4,-20,0,2,0
0.021882000000005064,-6,5,-22,0,2,0
0.02150800000072195,-6,4,-21,0,2,0
0.020418899999640416,-6,4,-21,0,2,0
0.021576899999672605,-6,4,-22,0,2,0
0.020858800000496558,-6,4,-21,0,2,0
0.02256279999983235,-6,5,-23,0,2,0
0.022895099999914237,-7,5,-24,0,2,0
0.021488200000021607,-6,5,-22,0,2,0
0.02139510000051814,0,4,-21,-1,0,1
0.021489699999619916,0,4,-21,-1,0,1
0.020972700000129407,0,4,-21,-1,0,1
0.6718087999997806,0,5,-24,-1,0,1
0.021582500000477012,0,4,-21,-1,0,1
0.02250759999969887,0,4,-22,-1,0,1
0.02192879999984143,0,4,-22,-1,0,1
0.02199170000039885,0,4,-22,-1,0,1
0.021936499999355874,0,4,-22,-1,0,1
0.022012500000528235,0,4,-22,-1,0,1
0.022491599999739265,0,5,-23,-1,0,1
0.022461399999883724,0,5,-23,-1,0,1
0.021913800000220363,0,4,-22,-1,0,1
0.020913800000016636,0,4,-21,-1,0,1
0.021563399999649846,0,4,-22,-1,0,1
0.02285420000043814,0,5,-24,-2,0,2
0.022022199999810255,0,4,-23,-2,0,2
0.022423600000365695,0,5,-24,-2,0,2
0.021470299999236886,0,4,-22,-2,0,2
0.020948500000486092,0,4,-22,-2,0,2
0.02103530000022147,0,4,-22,-2,0,2
0.021431699999993725,0,4,-22,-2,0,2
0.021611399999528658,0,4,-22,-2,0,2
0.021901600000092003,0,4,-24,-2,0,2
0.021969399999761663,0,4,-24,-2,0,2
0.021844800000508258,0,4,-24,-2,0,2
0.021093999999720836,0,4,-22,-2,0,2
0.021895800000493182,0,4,-24,-2,0,2
0.021001999999498366,0,4,-22,-2,0,2
0.021393199999693024,0,4,-23,-2,0,2
0.02196490000005724,0,4,-24,-2,0,2
0.02248290000079578,0,5,-25,-2,0,2
0.021148599999833095,0,4,-23,-2,0,2
0.020245799999429437,0,4,-22,-2,0,2
0.021046400000159338,0,4,-23,-2,0,2
0.020899199999803386,0,4,-23,-2,0,2
0.02213560000018333,0,4,-24,-3,0,3
0.0218113999999332,0,0,18,13,0,-13
0.021962200000416487,0,0,18,13,0,-13
0.0210386999997354,0,0,17,13,0,-13
0.021501700000044366,0,0,18,13,0,-13
0.021958500000437198,0,0,18,14,0,-14
0.022886799999469076,0,0,19,15,0,-15
0.022451900000305614,0,0,18,14,0,-14
0.022965999999541964,0,0,19,15,0,-15
0.0224807000004148,0,0,18,14,0,-14
0.02150030000029801,0,0,17,13,0,-13
0.021428799999739567,0,0,17,13,0,-13
0.022926499999812222,0,0,18,14,0,-14
0.025229099999705795,0,0,20,14,1,-14
0.021715300000323623,0,0,17,12,1,-12
0.02197470000010071,0,0,17,11,1,-12
0.021940399999948568,0,0,17,11,1,-11
0.021614499999486725,0,0,17,10,1,-10
0.020353200000499783,0,0,16,9,1,-9
0.021460199999637553,0,0,17,9,1,-9
0.020967700000255718,0,0,16,8,1,-8
0.020934500000294065,0,0,16,8,1,-8
0.021515699999326898,0,0,17,8,1,-8
0.022904600000401842,0,0,18,8,1,-8
0.021045200000116893,0,0,16,7,1,-7
0.022423299999900337,0,0,17,7,2,-7
0.02097070000036183,0,0,16,6,1,-6
0.021911699999691336,0,0,17,6,2,-6
0.020950699999957578,0,0,16,5,2,-5
0.021962900000289665,0,0,16,5,2,-5
0.022852899999634246,0,0,17,5,2,-5
0.020202100000460632,0,0,15,4,2,-4
0.02128629999970144,0,0,16,4,2,-4
0.02158140000028652,0,0,16,4,2,-4
0.021452999999382882,0,0,16,4,2,-4
0.0219334000003073,0,0,16,4,2,-4
0.021009099999901082,0,0,15,3,2,-3
